%                                                       MEASUREMENT OF THE Y(1S), Y(2S) AND Y(3S) POLARIZATIONS
%                                                                 IN PP COLLISIONS AT SQRT(S) = 7 TeV
%
%                                                                        SUPPLEMENTAL MATERIAL
%
%
%These tables list the results of the angular anisotropy parameters Lambda-Theta, Lambda-Phi, Lambda-Theta-Phi and the frame-invariant parameter Lambda-Tilde, for the Y(nS)
%states in the Collins-Soper (CS), helicity (HX), and perpendicular helicity (PX) frames, along with their total uncertainties (TU) (68.3%, 95.5%, and 99.7% CL) and statistical
%uncertainties (SU) only (68.3% CL) for different bins of Y transverse momentum pT and rapidity y.
%
%Column headings are:
%      pT-min: lower border of Y transverse momentum (GeV)
%      pT-max: upper border of Y transverse momentum (GeV)
%     |y|-min: lower border of Y rapidity
%     |y|-max: upper border of Y rapidity
%    Lambda-*: central value of the result
%-T.U.68.3%CL: negative total uncertainty, 68.3% CL
%+T.U.68.3%CL: positive total uncertainty, 68.3% CL
%-T.U.95.5%CL: negative total uncertainty, 95.5% CL
%+T.U.95.5%CL: positive total uncertainty, 95.5% CL
%-T.U.99.7%CL: negative total uncertainty, 99.7% CL
%+T.U.99.7%CL: positive total uncertainty, 99.7% CL
%-S.U.68.3%CL: negative statistical uncertainty, 68.3% CL
%+S.U.68.3%CL: positive statistical uncertainty, 68.3% CL
%
%
Table Lambda-Theta, CS frame, Y(1S):
pT-min   pT-max   |y|-min   |y|-max     Lambda-Theta     -T.U.68.3%CL    +T.U.68.3%CL   -T.U.95.5%CL   +T.U.95.5%CL   -T.U.99.7%CL   +T.U.99.7%CL   -S.U.68.3%CL   +S.U.68.3%CL
  20       30       0.0       0.6          -0.092           -0.106          +0.097         -0.207         +0.203         -0.303         +0.305         -0.079         +0.078
  30       50       0.0       0.6          -0.039           -0.140          +0.152         -0.274         +0.302         -0.399         +0.461         -0.129         +0.142
  10       12       0.6       1.2          -0.176           -0.147          +0.137         -0.290         +0.279         -0.418         +0.414         -0.088         +0.086
  12       16       0.6       1.2          -0.128           -0.121          +0.107         -0.229         +0.221         -0.343         +0.336         -0.070         +0.067
  16       20       0.6       1.2          -0.089           -0.112          +0.104         -0.218         +0.215         -0.317         +0.321         -0.083         +0.081
  20       30       0.6       1.2          -0.144           -0.113          +0.103         -0.222         +0.217         -0.325         +0.326         -0.079         +0.080
  30       50       0.6       1.2           0.061           -0.155          +0.161         -0.293         +0.331         -0.423         +0.510         -0.143         +0.159

Table Lambda-Theta, HX frame, Y(1S):
pT-min   pT-max   |y|-min   |y|-max     Lambda-Theta     -T.U.68.3%CL    +T.U.68.3%CL   -T.U.95.5%CL   +T.U.95.5%CL   -T.U.99.7%CL   +T.U.99.7%CL   -S.U.68.3%CL   +S.U.68.3%CL
  10       12       0.0       0.6           0.209           -0.175          +0.159         -0.346         +0.330         -0.509         +0.492         -0.116         +0.104
  12       16       0.0       0.6           0.133           -0.146          +0.134         -0.283         +0.270         -0.419         +0.407         -0.076         +0.071
  16       20       0.0       0.6           0.064           -0.127          +0.115         -0.241         +0.236         -0.362         +0.356         -0.080         +0.077
  20       30       0.0       0.6           0.004           -0.099          +0.090         -0.194         +0.185         -0.284         +0.279         -0.072         +0.065
  30       50       0.0       0.6           0.166           -0.128          +0.125         -0.252         +0.261         -0.368         +0.397         -0.110         +0.111
  10       12       0.6       1.2           0.032           -0.143          +0.127         -0.271         +0.263         -0.399         +0.398         -0.087         +0.083
  12       16       0.6       1.2           0.071           -0.105          +0.098         -0.203         +0.197         -0.307         +0.295         -0.066         +0.060
  16       20       0.6       1.2           0.033           -0.099          +0.088         -0.190         +0.184         -0.281         +0.280         -0.072         +0.068
  20       30       0.6       1.2           0.066           -0.094          +0.087         -0.185         +0.178         -0.276         +0.273         -0.071         +0.065
  30       50       0.6       1.2           0.214           -0.126          +0.122         -0.251         +0.259         -0.362         +0.390         -0.113         +0.111

Table Lambda-Phi, HX frame, Y(1S):
pT-min   pT-max   |y|-min   |y|-max      Lambda-Phi      -T.U.68.3%CL    +T.U.68.3%CL   -T.U.95.5%CL   +T.U.95.5%CL   -T.U.99.7%CL   +T.U.99.7%CL   -S.U.68.3%CL   +S.U.68.3%CL
  10       12       0.0       0.6          -0.042           -0.035          +0.032         -0.069         +0.066         -0.103         +0.099         -0.012         +0.011
  12       16       0.0       0.6          -0.034           -0.025          +0.023         -0.049         +0.046         -0.073         +0.070         -0.009         +0.008
  16       20       0.0       0.6          -0.045           -0.025          +0.023         -0.049         +0.047         -0.072         +0.070         -0.013         +0.012
  20       30       0.0       0.6          -0.025           -0.023          +0.020         -0.043         +0.041         -0.064         +0.062         -0.015         +0.014
  30       50       0.0       0.6          -0.061           -0.036          +0.031         -0.068         +0.064         -0.101         +0.097         -0.033         +0.030
  10       12       0.6       1.2          -0.072           -0.028          +0.025         -0.056         +0.053         -0.082         +0.079         -0.018         +0.016
  12       16       0.6       1.2          -0.072           -0.024          +0.021         -0.047         +0.043         -0.068         +0.066         -0.014         +0.012
  16       20       0.6       1.2          -0.048           -0.025          +0.023         -0.050         +0.047         -0.074         +0.072         -0.016         +0.015
  20       30       0.6       1.2          -0.076           -0.027          +0.025         -0.054         +0.050         -0.079         +0.077         -0.017         +0.015
  30       50       0.6       1.2          -0.043           -0.041          +0.037         -0.077         +0.073         -0.115         +0.111         -0.035         +0.032

Table Lambda-Theta-Phi, HX frame, Y(1S):
pT-min   pT-max   |y|-min   |y|-max   Lambda-Theta-Phi   -T.U.68.3%CL    +T.U.68.3%CL   -T.U.95.5%CL   +T.U.95.5%CL   -T.U.99.7%CL   +T.U.99.7%CL   -S.U.68.3%CL   +S.U.68.3%CL
  10       12       0.0       0.6           0.006           -0.045          +0.040         -0.089         +0.082         -0.133         +0.124         -0.036         +0.031
  12       16       0.0       0.6           0.042           -0.034          +0.031         -0.067         +0.065         -0.101         +0.096         -0.021         +0.020
  16       20       0.0       0.6           0.006           -0.031          +0.028         -0.062         +0.058         -0.090         +0.087         -0.022         +0.020
  20       30       0.0       0.6          -0.020           -0.029          +0.026         -0.055         +0.053         -0.083         +0.079         -0.022         +0.020
  30       50       0.0       0.6           0.017           -0.044          +0.038         -0.084         +0.077         -0.121         +0.117         -0.041         +0.036
  10       12       0.6       1.2           0.091           -0.046          +0.043         -0.091         +0.085         -0.133         +0.128         -0.033         +0.030
  12       16       0.6       1.2           0.012           -0.038          +0.034         -0.073         +0.069         -0.108         +0.104         -0.025         +0.022
  16       20       0.6       1.2          -0.012           -0.037          +0.033         -0.070         +0.067         -0.104         +0.100         -0.028         +0.024
  20       30       0.6       1.2          -0.009           -0.035          +0.031         -0.068         +0.064         -0.100         +0.096         -0.026         +0.023
  30       50       0.6       1.2          -0.002           -0.051          +0.044         -0.097         +0.090         -0.143         +0.134         -0.045         +0.039

Table Lambda-Tilde, HX frame, Y(1S):
pT-min   pT-max   |y|-min   |y|-max     Lambda-Tilde     -T.U.68.3%CL    +T.U.68.3%CL   -T.U.95.5%CL   +T.U.95.5%CL   -T.U.99.7%CL   +T.U.99.7%CL   -S.U.68.3%CL   +S.U.68.3%CL
  10       12       0.0       0.6           0.084           -0.210          +0.187         -0.408         +0.385         -0.597         +0.583         -0.108         +0.103
  12       16       0.0       0.6           0.028           -0.177          +0.158         -0.335         +0.326         -0.503         +0.493         -0.076         +0.073
  16       20       0.0       0.6          -0.061           -0.138          +0.127         -0.267         +0.256         -0.396         +0.392         -0.082         +0.081
  20       30       0.0       0.6          -0.067           -0.108          +0.098         -0.206         +0.202         -0.310         +0.311         -0.078         +0.075
  30       50       0.0       0.6          -0.013           -0.143          +0.146         -0.281         +0.304         -0.404         +0.463         -0.132         +0.135
  10       12       0.6       1.2          -0.159           -0.150          +0.136         -0.285         +0.278         -0.420         +0.414         -0.090         +0.084
  12       16       0.6       1.2          -0.101           -0.114          +0.102         -0.224         +0.213         -0.330         +0.324         -0.068         +0.063
  16       20       0.6       1.2          -0.094           -0.110          +0.101         -0.216         +0.206         -0.316         +0.317         -0.082         +0.078
  20       30       0.6       1.2          -0.144           -0.112          +0.104         -0.217         +0.214         -0.323         +0.325         -0.079         +0.075
  30       50       0.6       1.2           0.083           -0.154          +0.156         -0.300         +0.327         -0.431         +0.499         -0.141         +0.150

Table Lambda-Theta, PX frame, Y(1S):
pT-min   pT-max   |y|-min   |y|-max     Lambda-Theta     -T.U.68.3%CL    +T.U.68.3%CL   -T.U.95.5%CL   +T.U.95.5%CL   -T.U.99.7%CL   +T.U.99.7%CL   -S.U.68.3%CL   +S.U.68.3%CL
  10       12       0.0       0.6           0.189           -0.169          +0.152         -0.338         +0.321         -0.490         +0.482         -0.120         +0.109
  12       16       0.0       0.6           0.021           -0.141          +0.129         -0.277         +0.264         -0.412         +0.406         -0.077         +0.073
  16       20       0.0       0.6           0.047           -0.122          +0.109         -0.234         +0.227         -0.346         +0.339         -0.083         +0.075
  20       30       0.0       0.6          -0.012           -0.095          +0.085         -0.186         +0.181         -0.276         +0.271         -0.069         +0.066
  30       50       0.0       0.6           0.146           -0.132          +0.127         -0.247         +0.256         -0.363         +0.393         -0.110         +0.108
  10       12       0.6       1.2          -0.107           -0.132          +0.122         -0.256         +0.245         -0.373         +0.362         -0.076         +0.073
  12       16       0.6       1.2           0.000           -0.104          +0.096         -0.207         +0.198         -0.309         +0.301         -0.062         +0.059
  16       20       0.6       1.2           0.048           -0.101          +0.090         -0.194         +0.188         -0.282         +0.281         -0.075         +0.071
  20       30       0.6       1.2           0.058           -0.101          +0.092         -0.192         +0.183         -0.283         +0.279         -0.071         +0.067
  30       50       0.6       1.2           0.199           -0.128          +0.124         -0.250         +0.253         -0.360         +0.389         -0.114         +0.112

Table Lambda-Phi, PX frame, Y(1S):
pT-min   pT-max   |y|-min   |y|-max      Lambda-Phi      -T.U.68.3%CL    +T.U.68.3%CL   -T.U.95.5%CL   +T.U.95.5%CL   -T.U.99.7%CL   +T.U.99.7%CL   -S.U.68.3%CL   +S.U.68.3%CL
  10       12       0.0       0.6          -0.030           -0.032          +0.029         -0.063         +0.059         -0.094         +0.090         -0.011         +0.010
  12       16       0.0       0.6          -0.022           -0.024          +0.022         -0.048         +0.045         -0.071         +0.068         -0.009         +0.008
  16       20       0.0       0.6          -0.044           -0.024          +0.021         -0.047         +0.045         -0.070         +0.067         -0.012         +0.011
  20       30       0.0       0.6          -0.027           -0.022          +0.019         -0.042         +0.040         -0.062         +0.060         -0.014         +0.014
  30       50       0.0       0.6          -0.056           -0.034          +0.032         -0.069         +0.063         -0.101         +0.095         -0.032         +0.030
  10       12       0.6       1.2          -0.021           -0.027          +0.024         -0.053         +0.050         -0.078         +0.076         -0.013         +0.011
  12       16       0.6       1.2          -0.053           -0.023          +0.020         -0.044         +0.042         -0.066         +0.064         -0.010         +0.009
  16       20       0.6       1.2          -0.046           -0.023          +0.020         -0.044         +0.042         -0.066         +0.064         -0.014         +0.013
  20       30       0.6       1.2          -0.071           -0.027          +0.024         -0.051         +0.049         -0.076         +0.073         -0.015         +0.015
